U/mL,cfu/mL,Spesifik,Perlakuan,,,
28.57142857,120,0.238095238,L,52.38095238,48.26666666,0.260730159
52.38095238,300,0.174603175,L,,,
45.9047619,240,0.191269841,L,,,
57.14285714,180,0.317460317,L,,,
57.33333333,150,0.382222222,L,,,
28.76190476,60,0.479365079,T + L (non),28.76190476,21.98095238,0.331637188
31.42857143,70,0.448979592,T + L (non),,,
1.523809524,30,0.050793651,T + L (non),,,
13.14285714,40,0.328571429,T + L (non),,,
35.04761905,100,0.35047619,T + L (non),,,
44.76190476,1600,0.02797619,T + L (ind),60.19047619,56.07619048,0.053966383
32.19047619,1080,0.029805996,T + L (ind),,,
63.23809524,650,0.097289377,T + L (ind),,,
60.19047619,1410,0.042688281,T + L (ind),,,
80,1110,0.072072072,T + L (ind),,,
