absorbansi,Perlakuan,Aktivitas
0.073,L,13.9047619
0.15,L,28.57142857
0.081,L,15.42857143
0.241,L,45.9047619
0.3,L,57.14285714
0.301,L,57.33333333
0.275,L,52.38095238
0.069,T + L (non),13.14285714
0.151,T + L (non),28.76190476
0.165,T + L (non),31.42857143
0.008,T + L (non),1.523809524
0.179,T + L (non),34.0952381
0.184,T + L (non),35.04761905
0.178,T + L (non),33.9047619
0.2,T + L (non),38.0952381
0.195,T + L (ind),37.14285714
0.235,T + L (ind),44.76190476
0.169,T + L (ind),32.19047619
0.332,T + L (ind),63.23809524
0.316,T + L (ind),60.19047619
0.42,T + L (ind),80
0.45,T + L (ind),85.71428571
